branch,division,dept,category,subcat,displaya,buyerid,itmdept,supplier_code,period,amount,paymentid,remarks
"S306","SP","OPS","C000000011","S000000017"," "," ","","13100027","December 01-31 2020",1074.080000,2,"for the month of December 01-31 2020"
"S306","SP","OPS","C000000011","S000000017"," "," ","","13100062","December 01-31 2020",1611.120000,2,"for the month of December 01-31 2020"
"S306","SP","OPS","C000000011","S000000017"," "," ","","13100107","December 01-31 2020",3222.240000,2,"for the month of December 01-31 2020"
"S306","SP","OPS","C000000011","S000000017"," "," ","","13100204","December 01-31 2020",2148.160000,2,"for the month of December 01-31 2020"
"S306","SP","OPS","C000000011","S000000017"," "," ","","13100235","December 01-31 2020",9666.720000,2,"for the month of December 01-31 2020"
"S306","SP","OPS","C000000011","S000000017"," "," ","","13100239","December 01-31 2020",1611.120000,2,"for the month of December 01-31 2020"
"S306","SP","OPS","C000000011","S000000017"," "," ","","13100308","December 01-31 2020",3222.240000,2,"for the month of December 01-31 2020"
"S306","SP","OPS","C000000011","S000000017"," "," ","","13100366","December 01-31 2020",1611.120000,2,"for the month of December 01-31 2020"
"S306","SP","OPS","C000000011","S000000017"," "," ","","13100412","December 01-31 2020",1611.120000,2,"for the month of December 01-31 2020"
"S306","SP","OPS","C000000011","S000000017"," "," ","","13100706","December 01-31 2020",1611.120000,2,"for the month of December 01-31 2020"
"S306","SP","OPS","C000000011","S000000017"," "," ","","13100919","December 01-31 2020",1074.080000,2,"for the month of December 01-31 2020"
"S306","SP","OPS","C000000011","S000000017"," "," ","","13100948","December 01-31 2020",1074.080000,2,"for the month of December 01-31 2020"
"S306","SP","OPS","C000000011","S000000017"," "," ","","13101033","December 01-31 2020",1074.080000,2,"for the month of December 01-31 2020"
"S306","SP","OPS","C000000011","S000000017"," "," ","","13101059","December 01-31 2020",3222.240000,2,"for the month of December 01-31 2020"
"S306","SP","OPS","C000000011","S000000017"," "," ","","13101085","December 01-31 2020",1074.080000,2,"for the month of December 01-31 2020"
"S306","SP","OPS","C000000011","S000000017"," "," ","","13300112","December 01-31 2020",1611.120000,2,"for the month of December 01-31 2020"
"S306","SP","OPS","C000000011","S000000017"," "," ","","13300309","December 01-31 2020",3222.240000,2,"for the month of December 01-31 2020"
"S306","SP","OPS","C000000011","S000000017"," "," ","","13300510","December 01-31 2020",1074.080000,2,"for the month of December 01-31 2020"
"S306","SP","OPS","C000000011","S000000017"," "," ","","13100008","December 01-31 2020",537.040000,2,"for the month of December 01-31 2020"
"S306","SP","OPS","C000000011","S000000017"," "," ","","13100138","December 01-31 2020",335.650000,2,"for the month of December 01-31 2020"
"S306","SP","OPS","C000000011","S000000017"," "," ","","13100181","December 01-31 2020",20.139000,2,"for the month of December 01-31 2020"
"S306","SP","OPS","C000000011","S000000017"," "," ","","13100313","December 01-31 2020",537.040000,2,"for the month of December 01-31 2020"
"S306","SP","OPS","C000000011","S000000017"," "," ","","13100314","December 01-31 2020",1094.219000,2,"for the month of December 01-31 2020"
"S306","SP","OPS","C000000011","S000000017"," "," ","","13100323","December 01-31 2020",537.040000,2,"for the month of December 01-31 2020"
"S306","SP","OPS","C000000011","S000000017"," "," ","","13100408","December 01-31 2020",537.040000,2,"for the month of December 01-31 2020"
"S306","SP","OPS","C000000011","S000000017"," "," ","","13100703","December 01-31 2020",671.300000,2,"for the month of December 01-31 2020"
"S306","SP","OPS","C000000011","S000000017"," "," ","","13100850","December 01-31 2020",3423.630000,2,"for the month of December 01-31 2020"
"S306","SP","OPS","C000000011","S000000017"," "," ","","13100923","December 01-31 2020",87.269000,2,"for the month of December 01-31 2020"
"S306","SP","OPS","C000000011","S000000017"," "," ","","13100982","December 01-31 2020",1141.210000,2,"for the month of December 01-31 2020"
"S306","SP","OPS","C000000011","S000000017"," "," ","","13101095","December 01-31 2020",3779.419000,2,"for the month of December 01-31 2020"
"S306","SP","OPS","C000000011","S000000017"," "," ","","13101118","December 01-31 2020",758.569000,2,"for the month of December 01-31 2020"
"S306","SP","OPS","C000000011","S000000017"," "," ","","13300143","December 01-31 2020",1161.349000,2,"for the month of December 01-31 2020"
"S306","SP","OPS","C000000011","S000000017"," "," ","","13100958","December 01-31 2020",537.040000,2,"for the month of December 01-31 2020"
"S306","SP","OPS","C000000011","S000000017"," "," ","","13101147","December 01-31 2020",537.040000,2,"for the month of December 01-31 2020"
